City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
229,Sao Jose Da Coroa Grande,BR,79.48,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
230,San Pedro,PH,78.35,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
237,Fayaoue,NC,75.67,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
238,Tessalit,ML,86.92,few clouds,20.1986,1.0114,
242,Salaga,GH,80.8,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
248,Gigmoto,PH,78.76,overcast clouds,13.7796,124.39,Cj's Travellers Inn
252,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
254,Itarema,BR,82.11,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
255,Gao,ML,88.74,clear sky,16.6362,1.637,
258,Carauari,BR,81.77,broken clouds,-4.8828,-66.8958,Hotel Fellip
261,Mitsamiouli,KM,78.78,broken clouds,-11.3847,43.2844,Foyer ADM
265,Totness,SR,80.6,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
266,Bandarbeyla,SO,78.06,clear sky,9.4942,50.8122,JABIR HOTEL
268,Mitu,CO,80.19,overcast clouds,1.1983,-70.1733,
269,Tevaitoa,PF,78.12,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
270,Varadero,CU,86.76,overcast clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
276,Innisfail,AU,75.83,overcast clouds,-17.5333,146.0333,Moondarra Motel
279,Paripiranga,BR,79.59,clear sky,-10.6875,-37.8617,Rancho N. Senhora De Fátima
282,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
296,Humaita,BR,80.74,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
299,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
305,San Policarpo,PH,79.83,broken clouds,12.1791,125.5072,Agapita M. Nicart
306,Caravelas,BR,77.79,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
307,Cairns,AU,76.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
311,Luganville,VU,79.83,few clouds,-15.5333,167.1667,The Espiritu Hotel
320,Saint Marys,US,87.06,clear sky,30.7305,-81.5465,Spencer House Inn
323,Maraba,BR,78.98,moderate rain,-5.3686,-49.1178,Hotel Del Principe
327,Sur,OM,79.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
328,Isangel,VU,75.31,clear sky,-19.55,169.2667,Tanna Lodge
337,Ures,MX,81.52,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
340,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
342,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
343,Bubaque,GW,82.24,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
346,Buala,SB,80.98,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
347,Trincomalee,LK,81.66,overcast clouds,8.5711,81.2335,Welcombe Hotel
349,Acarau,BR,82.58,clear sky,-2.8856,-40.12,castelo pizzaria
350,Manta,EC,80.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
352,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
353,Teknaf,BD,76.98,overcast clouds,20.8624,92.3058,Forestry Guesthouse
357,Goure,NE,89.02,clear sky,13.9835,10.2704,
358,Thinadhoo,MV,83.05,overcast clouds,0.5333,72.9333,
359,Bosaso,SO,79.48,clear sky,11.2842,49.1816,Red Sea Hotel
362,Kankon,IN,77.11,light rain,15.0167,74.0167,Palolem Beach Resort
