City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Patricio,US,2021-10-25 17:01:37,28.017,-97.5169,87.89,53,6,6.02
68,Mikhaylovka,RU,2021-10-25 17:06:07,50.06,43.2379,33.06,61,34,7.14
69,Nome,US,2021-10-25 17:06:08,64.5011,-165.4064,24.87,80,75,13.8
70,Fort Nelson,CA,2021-10-25 17:04:04,58.8053,-122.7002,33.35,93,100,2.64
71,Kavaratti,IN,2021-10-25 17:05:58,10.5669,72.642,82.71,75,45,14.81
72,Carnarvon,AU,2021-10-25 17:06:09,-24.8667,113.6333,64.47,63,90,13.8
73,Hobart,AU,2021-10-25 17:02:00,-42.8794,147.3294,49.86,81,90,6.91
74,Oktyabrskiy,RU,2021-10-25 17:06:10,54.4815,53.471,33.31,69,97,13.49
75,Tvedestrand,NO,2021-10-25 17:06:11,58.622,8.9315,54.32,91,72,9.06
76,Wilmington Island,US,2021-10-25 17:06:11,32.0036,-80.9737,75.97,61,75,0.0
77,Suez,EG,2021-10-25 17:06:11,29.9737,32.5263,70.18,62,0,13.2
78,Puerto Narino,CO,2021-10-25 17:06:12,-3.7703,-70.3831,89.55,95,100,4.16
79,Huarmey,PE,2021-10-25 17:06:12,-10.0681,-78.1522,69.62,69,21,12.21
80,Jackson,US,2021-10-25 17:04:45,42.4165,-122.8345,48.0,92,90,0.0
81,Hailey,US,2021-10-25 17:06:12,43.5196,-114.3153,40.86,93,90,0.0
82,Linares,CL,2021-10-25 17:06:13,-35.85,-71.6,82.29,18,77,13.6
83,Mangochi,MW,2021-10-25 17:02:15,-14.4782,35.2645,90.41,30,88,7.45
84,Mecca,SA,2021-10-25 17:06:14,21.4267,39.8261,83.07,55,2,2.84
85,Mahebourg,MU,2021-10-25 17:06:14,-20.4081,57.7,74.25,76,15,16.62
86,Ponta Do Sol,PT,2021-10-25 17:06:15,32.6667,-17.1,72.12,58,88,4.83
87,Inhambane,MZ,2021-10-25 17:03:51,-23.865,35.3833,72.55,80,30,8.39
88,Batagay-Alyta,RU,2021-10-25 17:06:15,67.8006,130.4114,5.2,89,100,2.75
89,Rincon,US,2021-10-25 17:06:16,32.296,-81.2354,79.25,89,90,3.44
90,Severo-Kurilsk,RU,2021-10-25 17:06:16,50.6789,156.125,38.97,83,23,11.81
91,Bandarbeyla,SO,2021-10-25 17:06:16,9.4942,50.8122,78.69,74,15,7.27
92,Busselton,AU,2021-10-25 17:06:17,-33.65,115.3333,41.04,70,67,5.1
93,Tadine,NC,2021-10-25 17:06:17,-21.55,167.8833,69.84,75,77,10.96
94,Richards Bay,ZA,2021-10-25 17:06:18,-28.783,32.0377,63.86,89,100,9.37
95,Namibe,AO,2021-10-25 17:06:19,-15.1961,12.1522,67.24,75,6,13.0
96,Abu Kamal,SY,2021-10-25 17:06:19,34.4506,40.9171,74.66,25,0,7.74
97,Airai,TL,2021-10-25 17:06:19,-8.9266,125.4092,61.77,91,69,0.27
98,Mar Del Plata,AR,2021-10-25 17:06:20,-38.0023,-57.5575,71.62,41,0,17.0
99,Sioux Lookout,CA,2021-10-25 17:03:43,50.1001,-91.917,35.98,93,90,0.0
100,Cap-Aux-Meules,CA,2021-10-25 17:06:02,47.3821,-61.8597,47.98,63,15,13.51
101,Saint George,US,2021-10-25 17:06:20,37.1041,-113.5841,75.67,30,1,7.0
102,Belsand,IN,2021-10-25 17:06:20,26.45,85.4,72.93,62,0,6.42
103,Gat,IL,2021-10-25 17:03:58,31.61,34.7642,72.28,100,1,8.52
104,Puerto Ayora,EC,2021-10-25 17:06:22,-0.7393,-90.3518,75.16,88,59,1.01
105,Beringovskiy,RU,2021-10-25 17:06:22,63.05,179.3167,10.6,77,100,5.44
106,Upernavik,GL,2021-10-25 17:06:24,72.7868,-56.1549,14.97,63,16,6.42
107,Homer,US,2021-10-25 17:04:54,59.6425,-151.5483,35.47,93,75,4.61
108,Gimli,CA,2021-10-25 17:06:25,50.6336,-96.9907,45.43,67,3,16.31
109,Agaro,ET,2021-10-25 17:06:26,7.85,36.65,61.75,84,47,2.01
110,Arraial Do Cabo,BR,2021-10-25 17:06:27,-22.9661,-42.0278,73.26,73,75,8.05
111,Odweyne,SO,2021-10-25 17:06:28,9.4092,45.064,79.43,40,59,7.07
112,Pangnirtung,CA,2021-10-25 17:06:28,66.1451,-65.7125,24.78,64,85,0.36
113,Port Hedland,AU,2021-10-25 17:06:29,-20.3167,118.5667,73.45,83,0,9.22
114,Shieli,KZ,2021-10-25 17:06:30,44.1667,66.75,54.68,31,1,9.35
115,Guarapari,BR,2021-10-25 17:06:30,-20.6667,-40.4975,80.49,79,77,12.33
116,Leningradskiy,RU,2021-10-25 17:06:31,69.3833,178.4167,6.3,93,100,13.18
117,Biharamulo,TZ,2021-10-25 17:06:31,-2.6319,31.3089,68.65,62,67,2.04
118,Nsanje,MW,2021-10-25 17:06:32,-16.92,35.262,84.51,59,6,13.44
119,Beloha,MG,2021-10-25 17:06:32,-25.1667,45.05,74.46,84,64,15.59
120,Strezhevoy,RU,2021-10-25 17:06:33,60.7333,77.5889,22.98,88,35,4.34
121,Khatanga,RU,2021-10-25 17:01:55,71.9667,102.5,6.22,96,100,9.75
122,Manzanillo,CU,2021-10-25 17:06:33,20.3433,-77.1167,87.4,61,57,4.21
123,Catuday,PH,2021-10-25 17:06:33,16.2923,119.8062,78.58,79,100,8.28
124,Spirit River,CA,2021-10-25 17:06:34,55.7833,-118.8361,40.75,80,100,1.54
125,Temple,US,2021-10-25 17:05:51,31.0982,-97.3428,85.57,80,1,1.01
126,Buraydah,SA,2021-10-25 17:06:18,26.326,43.975,78.75,20,0,12.53
127,Paamiut,GL,2021-10-25 17:06:34,61.994,-49.6678,35.98,54,12,17.45
128,New Norfolk,AU,2021-10-25 17:06:35,-42.7826,147.0587,49.5,98,44,2.57
129,Kaitangata,NZ,2021-10-25 17:06:36,-46.2817,169.8464,51.21,90,98,5.88
130,Vung Tau,VN,2021-10-25 17:06:37,10.346,107.0843,80.89,76,99,1.34
131,Vilyuysk,RU,2021-10-25 17:06:37,63.7553,121.6247,31.28,99,100,4.79
132,Castro,BR,2021-10-25 17:06:38,-24.7911,-50.0119,68.0,68,89,3.11
133,Saint-Philippe,RE,2021-10-25 17:06:38,-21.3585,55.7679,74.79,83,31,14.03
134,Saskylakh,RU,2021-10-25 17:04:45,71.9167,114.0833,-15.61,100,99,1.72
135,Samarai,PG,2021-10-25 17:05:25,-10.6167,150.6667,80.94,80,83,9.28
136,Wattegama,LK,2021-10-25 17:06:40,6.7989,81.4808,76.95,87,93,2.21
137,Mount Isa,AU,2021-10-25 17:04:57,-20.7333,139.5,74.97,46,54,0.0
138,Roma,US,2021-10-25 17:06:03,43.2128,-75.4557,69.66,92,90,10.36
139,Padang,ID,2021-10-25 17:05:55,-0.9492,100.3543,77.05,88,100,3.04
140,Hilo,US,2021-10-25 17:06:42,19.7297,-155.09,71.8,88,75,6.91
141,Tuktoyaktuk,CA,2021-10-25 17:05:10,69.4541,-133.0374,28.4,100,90,8.05
142,Quebec,CA,2021-10-25 17:03:44,46.8123,-71.2145,46.35,70,94,1.99
143,Ashland,US,2021-10-25 17:05:57,40.8167,-82.2665,62.96,84,100,14.63
144,Souillac,MU,2021-10-25 17:06:44,-20.5167,57.5167,74.35,78,17,15.23
145,Narsaq,GL,2021-10-25 17:03:15,60.9167,-46.05,30.42,44,16,2.3
146,Komsomolskiy,UZ,2021-10-25 17:06:31,40.4272,71.7189,51.22,53,0,6.91
147,Bambous Virieux,MU,2021-10-25 17:06:45,-20.3428,57.7575,74.21,75,16,16.49
148,Calvinia,ZA,2021-10-25 17:06:45,-31.4707,19.776,70.18,20,0,7.07
149,Lazaro Cardenas,MX,2021-10-25 17:06:46,17.9583,-102.2,76.55,88,100,7.43
150,Tessalit,ML,2021-10-25 17:06:46,20.1986,1.0114,95.09,15,73,13.09
151,Vila Velha,BR,2021-10-25 17:05:05,-20.3297,-40.2925,80.55,65,40,14.97
152,Barrow,US,2021-10-25 17:04:37,71.2906,-156.7887,28.42,86,90,14.97
153,Ulladulla,AU,2021-10-25 17:04:43,-35.35,150.4667,54.88,78,9,4.76
154,Veraval,IN,2021-10-25 17:06:47,20.9,70.3667,78.98,62,3,10.83
155,Tamandare,BR,2021-10-25 17:06:47,-8.7597,-35.1047,84.07,55,32,10.49
156,Ajaccio,FR,2021-10-25 17:06:48,42.0,8.9167,62.58,68,90,8.05
157,Margate,GB,2021-10-25 17:05:28,51.3813,1.3862,57.69,83,25,1.99
158,Nouadhibou,MR,2021-10-25 17:06:49,20.931,-17.0347,71.69,74,99,17.96
159,Geraldton,AU,2021-10-25 17:06:49,-28.7667,114.6,54.01,94,90,6.91
160,Shestakovo,RU,2021-10-25 17:06:50,56.4915,103.96,41.07,97,100,11.54
161,Rio Grande,BR,2021-10-25 17:06:00,-32.035,-52.0986,84.31,47,0,14.7
162,Raudeberg,NO,2021-10-25 17:06:50,61.9875,5.1352,50.2,92,79,8.01
163,Ferkessedougou,CI,2021-10-25 17:06:50,9.6,-5.2,80.1,73,95,4.03
164,Asyut,EG,2021-10-25 17:06:51,27.181,31.1837,76.53,36,0,10.78
165,Bhola,BD,2021-10-25 17:06:51,22.6833,90.65,75.65,78,2,5.53
166,Dunedin,NZ,2021-10-25 17:06:52,-45.8742,170.5036,55.8,95,92,5.99
167,Lenoir City,US,2021-10-25 17:06:53,35.7973,-84.256,73.45,91,50,11.7
168,Hithadhoo,MV,2021-10-25 17:04:42,-0.6,73.0833,82.78,75,93,14.38
169,Tigzirt,DZ,2021-10-25 17:02:48,36.8886,4.1198,66.04,72,49,5.57
170,Hervey Bay,AU,2021-10-25 17:06:53,-25.2986,152.8535,71.04,92,100,4.61
171,Cayenne,GF,2021-10-25 17:06:54,4.9333,-52.3333,78.84,91,75,0.0
172,Gidam,IN,2021-10-25 17:06:54,18.9833,81.4,67.48,78,8,2.93
173,Sovetskiy,RU,2021-10-25 17:06:54,61.3614,63.5842,27.63,79,100,6.51
174,Vardo,NO,2021-10-25 17:06:55,70.3705,31.1107,33.78,80,75,16.11
175,Salalah,OM,2021-10-25 17:06:55,17.0151,54.0924,78.26,72,55,2.53
176,Iki-Burul,RU,2021-10-25 17:06:56,45.8208,44.6472,35.94,53,93,8.72
177,Port Elizabeth,ZA,2021-10-25 17:06:57,-33.918,25.5701,66.09,79,1,17.74
178,Yulara,AU,2021-10-25 17:06:57,-25.2406,130.9889,75.04,29,61,9.22
179,Chuy,UY,2021-10-25 17:02:41,-33.6971,-53.4616,79.92,40,0,19.64
180,Vostok,RU,2021-10-25 17:06:58,46.4856,135.8833,32.59,77,15,5.06
181,Husavik,IS,2021-10-25 17:06:07,66.0449,-17.3389,31.95,81,42,8.5
182,Kemijarvi,FI,2021-10-25 17:07:00,66.7131,27.4306,28.09,98,99,5.14
183,Lorengau,PG,2021-10-25 17:07:00,-2.0226,147.2712,81.23,77,35,4.76
184,Omboue,GA,2021-10-25 17:02:10,-1.5746,9.2618,77.7,87,100,10.02
185,Shulan,CN,2021-10-25 17:05:20,44.4167,126.95,47.57,77,54,9.8
186,Tambacounda,SN,2021-10-25 17:07:02,13.7539,-13.7586,89.78,52,99,3.13
187,Tocopilla,CL,2021-10-25 17:07:03,-22.092,-70.1979,65.34,65,12,4.76
188,Karratha,AU,2021-10-25 17:07:03,-20.7377,116.8463,78.6,41,7,13.47
189,Umtata,ZA,2021-10-25 17:07:04,-31.5889,28.7844,54.16,94,100,8.05
190,Palu,ID,2021-10-25 17:07:04,-0.8917,119.8707,75.67,95,40,2.57
191,Grand Gaube,MU,2021-10-25 17:07:05,-20.0064,57.6608,74.37,69,31,7.0
192,Coquimbo,CL,2021-10-25 17:07:05,-29.9533,-71.3436,64.13,67,20,14.97
193,Port Macquarie,AU,2021-10-25 17:04:48,-31.4333,152.9167,62.56,84,10,7.4
194,Tiarei,PF,2021-10-25 17:07:06,-17.5333,-149.3333,75.22,75,87,2.48
195,Bagotville,AU,2021-10-25 17:07:06,-28.9833,153.4167,67.64,68,100,6.64
